fish,stage,day,distance,yds,trial
fish9,Washout,3,3.426445939204277,1.6659288883753778,5
fish9,Washout,3,2.9836803050946425,0.6881702564251115,6
fish9,Washout,4,2.741296517928651,-0.1780501751709544,1
fish9,Washout,4,3.0256851448181994,-0.2922776998694682,2
fish9,Washout,4,3.848367621605763,0.0023415846739653,3
fish9,Washout,4,7.308435286239474,2.269005375754209,4
fish9,Washout,4,3.435466061755381,-1.1758231586712564,5
fish9,Washout,4,4.438727414437617,-0.1059650728935066,6
fish9,Washout,5,2.333046589671823,0.0081995467268056,1
fish9,Washout,5,2.352471131314257,-0.1465592801566546,2
fish9,Washout,5,2.4013404250743875,-0.2274608655152299,3
fish9,Washout,5,2.514865521978636,-0.7007521096912606,4
fish9,Washout,5,8.91728976035077,-6.920002769170039,5
fish9,Washout,5,2.3124776368641697,-0.0927228800571946,6
fish9,Washout,6,2.8133251788346567,-0.1514662163004262,1
fish9,Washout,6,2.437170574316754,-0.1748841918640183,2
fish9,Washout,6,1.4637278034545051,0.047584554603251,3
fish9,Washout,6,2.284790632763714,-0.2067509654898565,4
fish9,Washout,6,2.553354267616588,-0.7810462956298154,5
fish9,Washout,6,5.37866905625285,-4.525729496054174,6
fish9,Washout,7,3.630764011633091,-1.2435994510473043,1
fish9,Washout,7,6.656056633615912,1.3488555032134608,2
fish9,Washout,7,4.455656854701745,0.4065430895818472,3
fish9,Washout,7,1.908384882971514,-0.2796807335170396,4
fish9,Washout,7,3.2394705182422165,0.7548597738431624,5
fish9,Washout,7,2.21871669928949,-0.225385038922076,6
fish9,Washout,8,4.553586837169424,-1.0813597208196652,1
fish9,Washout,8,2.855615651554347,-0.0715144130464288,2
fish9,Washout,8,7.642798480443443,-6.524745532192493,3
fish9,Washout,8,2.586408696597102,-0.2462569928578967,4
fish9,Washout,8,2.7775317977822844,-0.5242858782189054,5
fish9,Washout,8,4.643736956257797,-3.167151792424397,6
fish9,Washout,9,4.55313572835565,-2.00263001508891,1
fish9,Washout,9,2.5903650436861088,-0.0079235846191816,2
fish9,Washout,9,2.381994210949966,-0.2166640541804604,3
fish9,Washout,9,2.326614595573261,-0.1978018960760608,4
fish9,Washout,9,4.981985593767035,1.0628872973221744,5
fish9,Washout,9,3.7557967636290335,1.1869506326425143,6
fish9,Washout,10,2.7557350943229832,0.0204718468593562,1
fish9,Washout,10,2.8397209709774835,0.4027908759010539,2
fish9,Washout,10,10.206711877092202,-5.539233722944205,3
fish9,Washout,10,4.163754928345687,1.895242680338428,4
fish9,Washout,10,2.720979309429536,-2.015774090071956,5
fish9,ReRotation,1,3.554031161455869,1.336976471056545,1
fish9,ReRotation,1,3.343503876415025,1.134456926476708,2
fish9,ReRotation,1,4.094145404142067,2.461752414291041,3
fish9,ReRotation,1,9.869880946605193,9.72453585314735,4
fish9,ReRotation,1,3.889319974566861,2.079148251580698,5
fish9,ReRotation,1,3.0929705763498467,0.3618539492149933,6
fish9,ReRotation,2,9.610488987540416,9.06896306557853,1
fish9,ReRotation,2,4.030963873508297,0.5987986475496092,2
fish9,ReRotation,2,4.275534943323535,2.7474065892423662,3
fish9,ReRotation,2,6.562023079549975,2.6059998946146576,4
fish9,ReRotation,2,3.4701266157949204,0.4381639746014527,5
fish9,ReRotation,2,3.123889031331544,0.4178823757375174,6
fish9,ReRotation,3,6.419259112407956,3.0987392316828366,1
fish9,ReRotation,3,3.5861183399365144,2.118568850512252,2
fish9,ReRotation,3,2.859707389650783,0.7504032179250757,3
fish9,ReRotation,3,10.706392450112013,6.2642132107008495,4
fish9,ReRotation,3,2.7272544196493285,0.5950498874254359,5
fish9,ReRotation,3,2.9652741961262734,1.244975796453014,6
fish9,ReRotation,4,6.28499730749857,5.7874429220801,1
